epoch,lr,mean_epe,loss_edgeflownet_bilinear_eca_gate4x,epe_edgeflownet_bilinear_eca_gate4x,grad_clip_rate_edgeflownet_bilinear_eca_gate4x,sintel_epe_edgeflownet_bilinear_eca_gate4x,mean_sintel_epe
5,9.996186474063684e-05,5.670563173294068,5.782225461314908,5.670563173294068,0.0,7.452361106872559,7.452361106872559
10,9.98474628758497e-05,4.897308993339538,5.058173271820699,4.897308993339538,0.0,6.709997653961182,6.709997653961182
15,9.965697080008347e-05,4.4200968742370605,4.628951614280399,4.4200968742370605,0.0,6.2342658042907715,6.2342658042907715
20,9.939068223831183e-05,4.153567969799042,4.389039799035024,4.153567969799042,0.0,6.345184803009033,6.345184803009033
25,9.904900778819605e-05,3.962789475917816,4.204390373161371,3.962789475917816,0.0,5.902759552001953,5.902759552001953
30,9.863247428697313e-05,3.790490174293518,4.063575682880209,3.790490174293518,0.0,6.336633682250977,6.336633682250977
35,9.814172399911105e-05,3.6591955065727233,3.9323398659555173,3.6591955065727233,0.0,5.845933437347412,5.845933437347412
40,9.757751362598337e-05,3.5812715172767637,3.838909354998911,3.5812715172767637,0.0,6.052114963531494,6.052114963531494
45,9.69407131390907e-05,3.626843750476837,3.7383405338946005,3.626843750476837,0.0,5.934833526611328,5.934833526611328
50,9.623230443862756e-05,3.5212093114852907,3.6510950832915823,3.5212093114852907,0.0,5.94320821762085,5.94320821762085
55,9.545337983946362e-05,3.4100072145462037,3.566755687161315,3.4100072145462037,0.0,5.682671070098877,5.682671070098877
60,9.460514038687318e-05,3.349354863166809,3.508361418470204,3.349354863166809,0.0,5.855500221252441,5.855500221252441
65,9.368889400461054e-05,3.3099879026412964,3.4516580752331576,3.3099879026412964,0.0,5.727174282073975,5.727174282073975
70,9.270605347818627e-05,3.3190587162971497,3.3931515002422197,3.3190587162971497,0.0,5.752983093261719,5.752983093261719
75,9.165813427645443e-05,3.2222042322158813,3.362341735002806,3.2222042322158813,0.0,5.9933390617370605,5.9933390617370605
80,9.054675221486936e-05,3.1439586758613585,3.2952820144111303,3.1439586758613585,0.0,5.577765941619873,5.577765941619873
85,8.937362096401548e-05,3.1475036263465883,3.267436104283916,3.1475036263465883,0.0,5.571216583251953,5.571216583251953
90,8.814054940725134e-05,3.0792279481887816,3.227766425918332,3.0792279481887816,0.0,5.485774993896484,5.485774993896484
95,8.684943885154264e-05,3.091124713420868,3.2024056521251048,3.091124713420868,0.0,5.457330703735352,5.457330703735352
100,8.550228009578476e-05,3.107519567012787,3.158398608509585,3.107519567012787,0.0,5.747721195220947,5.747721195220947
105,8.410115036113507e-05,3.09455326795578,3.1202963865060602,3.09455326795578,0.0,5.778613090515137,5.778613090515137
110,8.264821008808843e-05,3.038092052936554,3.0904131068600167,3.038092052936554,0.0,5.578069686889648,5.578069686889648
115,8.114569960523474e-05,3.0168277978897096,3.0572202347165387,3.0168277978897096,0.0,5.706175804138184,5.706175804138184
120,7.959593567483439e-05,3.025285857915878,3.039612086556798,3.025285857915878,0.0,5.369642734527588,5.369642734527588
125,7.800130792053892e-05,2.9924809098243714,3.010208309125557,2.9924809098243714,0.0,5.63147497177124,5.63147497177124
130,7.636427514276455e-05,2.9876443207263947,2.9933765183249825,2.9876443207263947,0.0,5.522052764892578,5.522052764892578
