epoch,lr,mean_epe,loss_edgeflownet_bilinear_gate4x,epe_edgeflownet_bilinear_gate4x,grad_clip_rate_edgeflownet_bilinear_gate4x,sintel_epe_edgeflownet_bilinear_gate4x,mean_sintel_epe
5,9.996186474063684e-05,5.682816815376282,5.738470131544758,5.682816815376282,0.0,7.6164774894714355,7.6164774894714355
10,9.98474628758497e-05,4.861438465118408,5.039099658564698,4.861438465118408,0.0017985611510791368,7.082352638244629,7.082352638244629
15,9.965697080008347e-05,4.458907914161682,4.673003324930616,4.458907914161682,0.0,6.6251397132873535,6.6251397132873535
20,9.939068223831183e-05,4.286980783939361,4.432188252750918,4.286980783939361,0.0,6.5604329109191895,6.5604329109191895
25,9.904900778819605e-05,4.06836611032486,4.242365942155715,4.06836611032486,0.0,6.5209197998046875,6.5209197998046875
30,9.863247428697313e-05,3.8825259685516356,4.095926689587051,3.8825259685516356,0.0,6.39700984954834,6.39700984954834
35,9.814172399911105e-05,3.823134112358093,3.9818252668106298,3.823134112358093,0.0,6.2275519371032715,6.2275519371032715
40,9.757751362598337e-05,3.7291393160820006,3.879109559299277,3.7291393160820006,0.0,6.259774684906006,6.259774684906006
45,9.69407131390907e-05,3.619349145889282,3.8028999374067185,3.619349145889282,0.0,6.141655921936035,6.141655921936035
50,9.623230443862756e-05,3.5048423528671266,3.7108565800481563,3.5048423528671266,0.0,6.1658830642700195,6.1658830642700195
55,9.545337983946362e-05,3.4694292664527895,3.625774651551418,3.4694292664527895,0.0,6.03723669052124,6.03723669052124
60,9.460514038687318e-05,3.4205434799194334,3.5819056111274006,3.4205434799194334,0.0,5.819386959075928,5.819386959075928
65,9.368889400461054e-05,3.420883500576019,3.502726519708153,3.420883500576019,0.0,5.85145902633667,5.85145902633667
70,9.270605347818627e-05,3.3868014574050904,3.4558920847426218,3.3868014574050904,0.0,6.098643779754639,6.098643779754639
75,9.165813427645443e-05,3.3151052236557006,3.4076812082915,3.3151052236557006,0.0,6.04998779296875,6.04998779296875
80,9.054675221486936e-05,3.3257166266441347,3.3532269039600013,3.3257166266441347,0.0,6.000553607940674,6.000553607940674
85,8.937362096401548e-05,3.338249480724335,3.3146289831442797,3.338249480724335,0.0,6.092338562011719,6.092338562011719
90,8.814054940725134e-05,3.204187774658203,3.2726420554325735,3.204187774658203,0.0,5.901336669921875,5.901336669921875
95,8.684943885154264e-05,3.22436945438385,3.222295755105053,3.22436945438385,0.0,5.803432941436768,5.803432941436768
100,8.550228009578476e-05,3.141725039482117,3.202571830732359,3.141725039482117,0.0,5.672482967376709,5.672482967376709
105,8.410115036113507e-05,3.091289687156677,3.1566284980705315,3.091289687156677,0.0,5.5280609130859375,5.5280609130859375
110,8.264821008808843e-05,3.1538607358932493,3.117398450271689,3.1538607358932493,0.0,5.568177700042725,5.568177700042725
115,8.114569960523474e-05,3.1627477049827575,3.102461681949149,3.1627477049827575,0.0,5.688629150390625,5.688629150390625
120,7.959593567483439e-05,3.1221640586853026,3.0738126541213164,3.1221640586853026,0.0,5.901486396789551,5.901486396789551
125,7.800130792053892e-05,3.071363252401352,3.0560450270879183,3.071363252401352,0.0,5.721580505371094,5.721580505371094
130,7.636427514276455e-05,3.0582547545433045,3.0157833005026946,3.0582547545433045,0.0,5.739552021026611,5.739552021026611
135,7.468736152740008e-05,3.0304376423358916,2.994888338682463,3.0304376423358916,0.0,5.900561332702637,5.900561332702637
140,7.297315275369533e-05,3.029121905565262,2.9725786775564975,3.029121905565262,0.0,5.647719383239746,5.647719383239746
145,7.122429200733096e-05,3.0423746347427367,2.9500962508668143,3.0423746347427367,0.0,5.555484294891357,5.555484294891357
150,6.944347590481792e-05,2.983815383911133,2.925855447491296,2.983815383911133,0.0,5.825604438781738,5.825604438781738
