epoch,lr,mean_epe,loss_edgeflownet_deconv,epe_edgeflownet_deconv,grad_clip_rate_edgeflownet_deconv,sintel_epe_edgeflownet_deconv,mean_sintel_epe
5,9.996186474063684e-05,5.775906729698181,5.86133455629829,5.775906729698181,0.0,7.914309024810791,7.914309024810791
10,9.98474628758497e-05,4.985837066173554,5.0613319963859995,4.985837066173554,0.0,7.049084663391113,7.049084663391113
15,9.965697080008347e-05,4.642457187175751,4.6491819984621285,4.642457187175751,0.0017985611510791368,6.859058856964111,6.859058856964111
20,9.939068223831183e-05,4.6964260816574095,4.4319130546755074,4.6964260816574095,0.0017985611510791368,7.314367771148682,7.314367771148682
25,9.904900778819605e-05,4.2157569289207455,4.227917109890807,4.2157569289207455,0.0017985611510791368,6.31882905960083,6.31882905960083
30,9.863247428697313e-05,4.057406532764435,4.070115548672436,4.057406532764435,0.0,6.808375358581543,6.808375358581543
35,9.814172399911105e-05,3.9852688789367674,3.9343763302556045,3.9852688789367674,0.0,6.377781867980957,6.377781867980957
40,9.757751362598337e-05,3.790536344051361,3.858802023980257,3.790536344051361,0.0,6.308962345123291,6.308962345123291
45,9.69407131390907e-05,3.721369969844818,3.740250690806684,3.721369969844818,0.0,6.15348482131958,6.15348482131958
50,9.623230443862756e-05,3.6497978925704957,3.6724782526064264,3.6497978925704957,0.0,6.082380771636963,6.082380771636963
55,9.545337983946362e-05,3.5942296028137206,3.6131429286311856,3.5942296028137206,0.0,6.016733169555664,6.016733169555664
60,9.460514038687318e-05,3.532970690727234,3.5181455530708643,3.532970690727234,0.0,6.191808223724365,6.191808223724365
65,9.368889400461054e-05,3.4525079846382143,3.469544684286598,3.4525079846382143,0.0,6.07554292678833,6.07554292678833
70,9.270605347818627e-05,3.4551156878471376,3.415619379753689,3.4551156878471376,0.0,6.13082218170166,6.13082218170166
75,9.165813427645443e-05,3.385220265388489,3.375592225747143,3.385220265388489,0.0,5.814645767211914,5.814645767211914
80,9.054675221486936e-05,3.3063697099685667,3.3119059505222515,3.3063697099685667,0.0,5.908729553222656,5.908729553222656
85,8.937362096401548e-05,3.3803076267242433,3.286037426200702,3.3803076267242433,0.0,6.196961402893066,6.196961402893066
90,8.814054940725134e-05,3.3175131559371946,3.2354646466618817,3.3175131559371946,0.0,6.015984058380127,6.015984058380127
95,8.684943885154264e-05,3.2500051736831663,3.20050683210222,3.2500051736831663,0.0,5.957096576690674,5.957096576690674
100,8.550228009578476e-05,3.282960307598114,3.2060105594799673,3.282960307598114,0.0,5.757030487060547,5.757030487060547
105,8.410115036113507e-05,3.246310818195343,3.1447558493065317,3.246310818195343,0.0,6.119305610656738,6.119305610656738
110,8.264821008808843e-05,3.229123091697693,3.107312196450268,3.229123091697693,0.0,5.764289379119873,5.764289379119873
115,8.114569960523474e-05,3.1640260457992553,3.0825724503119214,3.1640260457992553,0.0,6.225276947021484,6.225276947021484
120,7.959593567483439e-05,3.226661020517349,3.0505811108959664,3.226661020517349,0.0,6.10978364944458,6.10978364944458
125,7.800130792053892e-05,3.14657484292984,3.0315896692893487,3.14657484292984,0.0,5.731009006500244,5.731009006500244
130,7.636427514276455e-05,3.2316874980926515,3.0188861575058037,3.2316874980926515,0.0,6.214546203613281,6.214546203613281
135,7.468736152740008e-05,3.27030485868454,2.9820761959329785,3.27030485868454,0.0,6.598469257354736,6.598469257354736
140,7.297315275369533e-05,3.131727558374405,2.959985107397862,3.131727558374405,0.0,5.964995861053467,5.964995861053467
145,7.122429200733096e-05,3.1045493841171266,2.940059180739972,3.1045493841171266,0.0,6.125118732452393,6.125118732452393
150,6.944347590481792e-05,3.107719433307648,2.916766949265981,3.107719433307648,0.0,5.755542755126953,5.755542755126953
155,6.76334503355102e-05,3.0974806368350984,2.908552025290702,3.0974806368350984,0.0,5.943556308746338,5.943556308746338
160,6.579700622764236e-05,3.066555416584015,2.885397084754148,3.066555416584015,0.0,5.665528774261475,5.665528774261475
