epoch,lr,mean_epe,loss_edgeflownet_bilinear_eca,epe_edgeflownet_bilinear_eca,grad_clip_rate_edgeflownet_bilinear_eca,loss_edgeflownet_bilinear_eca_gate4x,epe_edgeflownet_bilinear_eca_gate4x,grad_clip_rate_edgeflownet_bilinear_eca_gate4x,sintel_epe_edgeflownet_bilinear_eca,sintel_epe_edgeflownet_bilinear_eca_gate4x,mean_sintel_epe
5,9.996186474063684e-05,5.817124533653259,5.891318774909425,5.820626854896545,0.0,5.824178913514391,5.813622212409973,0.0,7.563760757446289,7.519953727722168,7.5418572425842285
10,9.98474628758497e-05,4.8741576910018924,5.09453199793109,4.904590201377869,0.0,5.064926243943276,4.843725180625915,0.0,7.046231746673584,6.802395820617676,6.92431378364563
15,9.965697080008347e-05,4.5305141627788545,4.707831546985846,4.542128932476044,0.0,4.67137111391095,4.518899393081665,0.0,7.053594589233398,6.864223480224609,6.958909034729004
20,9.939068223831183e-05,4.302575516700745,4.439183939703934,4.312768304347992,0.0,4.418701216042471,4.2923827290534975,0.0,6.48624849319458,6.695468425750732,6.590858459472656
25,9.904900778819605e-05,4.0856462001800535,4.277411833512697,4.114110219478607,0.0017985611510791368,4.221702758785632,4.0571821808815,0.0,6.4336419105529785,6.522528648376465,6.478085279464722
30,9.863247428697313e-05,3.954254621267319,4.078443164876897,3.905133402347565,0.0,4.0694369896710345,4.003375840187073,0.0,6.125240802764893,6.310420513153076,6.217830657958984
35,9.814172399911105e-05,3.8211736619472503,3.9357305164817427,3.807371664047241,0.0,3.9270185995444975,3.8349756598472595,0.0,6.278969764709473,6.108526229858398,6.1937479972839355
40,9.757751362598337e-05,3.756556510925293,3.8261084908204115,3.698918640613556,0.0,3.842187899050953,3.81419438123703,0.0,6.439864635467529,6.515590190887451,6.47772741317749
45,9.69407131390907e-05,3.6474232733249665,3.770206234009146,3.6105692744255067,0.0,3.7446819479516944,3.6842772722244264,0.0,6.252896308898926,6.341531276702881,6.297213792800903
50,9.623230443862756e-05,3.5854415118694307,3.6568304634780335,3.5458456158638,0.0,3.6642006897240234,3.625037407875061,0.0,5.958415508270264,6.013173580169678,5.985794544219971
55,9.545337983946362e-05,3.503272902965546,3.6166874050236433,3.493260145187378,0.0,3.590825137045744,3.5132856607437133,0.0,5.898212909698486,5.966606140136719,5.9324095249176025
60,9.460514038687318e-05,3.4139556169509886,3.5055486894339967,3.362519550323486,0.0,3.51432713544626,3.465391683578491,0.0,6.018644332885742,6.084132194519043,6.051388263702393
65,9.368889400461054e-05,3.423754096031189,3.483477277292622,3.347174108028412,0.0,3.4653891582283185,3.500334084033966,0.0,5.66987419128418,6.2299652099609375,5.949919700622559
70,9.270605347818627e-05,3.3450660705566406,3.3796942589951935,3.3194808840751646,0.0,3.391239282896193,3.3706512570381166,0.0,6.179262161254883,5.934597015380859,6.056929588317871
75,9.165813427645443e-05,3.329716062545776,3.33424693817715,3.3199909806251524,0.0,3.347885829939259,3.3394411444664,0.0,6.150040149688721,6.129911422729492,6.1399757862091064
80,9.054675221486936e-05,3.292579573392868,3.2774796022785653,3.2437294363975524,0.0,3.300722111472123,3.3414297103881836,0.0,5.882216930389404,5.674840450286865,5.778528690338135
85,8.937362096401548e-05,3.2731877982616426,3.227361478393884,3.2214552402496337,0.0,3.2570162728536043,3.324920356273651,0.0,5.953023433685303,5.968681335449219,5.960852384567261
90,8.814054940725134e-05,3.2211035013198854,3.1953355189707637,3.1428924322128298,0.0,3.2207876233745822,3.299314570426941,0.0,5.764109134674072,5.962215423583984,5.863162279129028
95,8.684943885154264e-05,3.2455701529979706,3.1384002253306,3.1711530923843383,0.0,3.178421867837151,3.319987213611603,0.0,6.130863189697266,6.1139984130859375,6.122430801391602
100,8.550228009578476e-05,3.136974191665649,3.1233243672110196,3.1119812607765196,0.0,3.157909881296775,3.161967122554779,0.0,5.996006488800049,6.152008056640625,6.074007272720337
105,8.410115036113507e-05,3.089584547281265,3.0952893975827336,3.0664857506752012,0.0,3.107679524010034,3.112683343887329,0.0,5.834255695343018,5.776319980621338,5.805287837982178
110,8.264821008808843e-05,3.105389881134033,3.0513717364921846,3.0808085560798646,0.0,3.073767599013212,3.129971206188202,0.0,5.728379726409912,5.725587368011475,5.726983547210693
115,8.114569960523474e-05,3.1464311540126797,3.0070483774589976,3.107623541355133,0.0,3.038095832299843,3.185238766670227,0.0,5.653907775878906,5.626651763916016,5.640279769897461
120,7.959593567483439e-05,3.112814247608185,3.0072420685411356,3.029485750198364,0.0,3.0197810865134644,3.1961427450180055,0.0,6.117604732513428,6.061993598937988,6.089799165725708
125,7.800130792053892e-05,3.035851019620895,2.9679614185429304,3.032516670227051,0.0,2.9838609296640906,3.03918536901474,0.0,5.935480117797852,5.9361982345581055,5.9358391761779785
130,7.636427514276455e-05,3.02923184633255,2.9532191140188586,2.978110873699188,0.0,2.962255377134831,3.080352818965912,0.0,5.621113300323486,5.762462615966797,5.691787958145142
135,7.468736152740008e-05,3.0313188195228578,2.910932621938719,2.977033853530884,0.0,2.9461580742177347,3.0856037855148317,0.0,6.033462047576904,5.817654132843018,5.925558090209961
140,7.297315275369533e-05,2.980749586224556,2.888620596137836,2.932306045293808,0.0,2.914456821388478,3.029193127155304,0.0,6.035307884216309,5.812187671661377,5.923747777938843
145,7.122429200733096e-05,2.9954022616147995,2.876103566276084,2.9773144721984863,0.0,2.8897577386965856,3.0134900510311127,0.0,5.672406196594238,5.912838459014893,5.792622327804565
